airport￨NN￨root￨ROOT
one￨CD￨nummod￨way way￨NN￨root￨ROOT
ci0￨NNP￨compound￨airport airport￨NN￨root￨ROOT
ground￨NN￨root￨ROOT ci0￨.￨punct￨ground
code￨NN￨compound￨al0 al0￨NN￨root￨ROOT
ci0￨NNP￨compound￨airport airport￨NN￨root￨ROOT
al0￨NNP￨root￨ROOT fn0￨NNP￨flat￨al0
describ￨NNP￨root￨ROOT ap0￨NNP￨flat￨describ
ground￨NN￨compound￨transport transport￨NN￨root￨ROOT ci0￨.￨punct￨transport
ground￨NN￨compound￨transport transport￨NN￨root￨ROOT ci0￨.￨punct￨transport
what￨WP￨root￨ROOT is￨VBZ￨cop￨what sa￨NNP￨appos￨what
what￨WP￨nsubj￨ap0 is￨VBZ￨cop￨ap0 ap0￨JJ￨root￨ROOT
what￨WP￨nsubj￨ap0 is￨VBZ￨cop￨ap0 ap0￨JJ￨root￨ROOT
onli￨UH￨discourse￨show show￨VB￨root￨ROOT al0￨.￨punct￨show
explain￨VB￨root￨ROOT restrict￨VB￨xcomp￨explain rc0￨.￨punct￨explain
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨daili ci1￨NNP￨compound￨daili daili￨NN￨nmod￨flight ti0￨CD￨nmod:tmod￨daili o'clock￨CD￨nummod￨pm pm￨NN￨nmod:tmod￨daili
show￨VB￨root￨ROOT me￨PRP￨iobj￨show the￨DT￨det￨flight even￨JJ￨amod￨flight flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨show
find￨VB￨root￨ROOT me￨PRP￨iobj￨find the￨DT￨det￨flight earliest￨JJS￨amod￨flight flight￨NN￨obj￨find from￨IN￨case￨ci0 ci0￨NN￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨find
pleas￨NNS￨nsubj￨list list￨VBP￨root￨ROOT the￨DT￨det￨flight da0￨NN￨compound￨flight flight￨NN￨obj￨list from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨IN￨case￨ci0 ci0￨NNP￨obl￨list
show￨VB￨root￨ROOT me￨PRP￨iobj￨show the￨DT￨det￨flight dinner￨NN￨compound￨flight flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨show
pleas￨NNS￨nsubj￨list list￨VBP￨root￨ROOT the￨DT￨det￨time flight￨NN￨compound￨time time￨NN￨obj￨list from￨IN￨case￨ci0 ci0￨NN￨obl￨list to￨IN￨case￨ci1 ci1￨NNP￨obl￨list
i￨PRP￨nsubj￨like would￨MD￨aux￨like like￨VB￨root￨ROOT to￨TO￨mark￨fli fli￨VB￨xcomp￨like from￨IN￨case￨ci0 ci0￨NNP￨obl￨fli to￨IN￨case￨ci1 ci1￨NNP￨obl￨fli
what￨WDT￨det￨flight flight￨NN￨nsubj￨go go￨VBP￨root￨ROOT from￨IN￨case￨ci0 ci0￨NN￨obl￨go to￨IN￨case￨da0 ci1￨DT￨det￨da0 next￨JJ￨amod￨da0 da0￨NN￨obl￨go
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight between￨IN￨case￨ti0 ti0￨NNP￨nmod￨flight and￨CC￨cc￨ti1 ti1￨NNP￨conj￨ti0
show￨VB￨root￨ROOT me￨PRP￨iobj￨show the￨DT￨det￨flight earliest￨JJS￨amod￨flight flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨show
pleas￨NNS￨nsubj￨list list￨VBP￨root￨ROOT the￨DT￨det￨time flight￨NN￨compound￨time time￨NN￨obj￨list for￨IN￨case￨ci0 ci0￨NN￨nmod￨time to￨IN￨nmod￨ci0 ci1￨.￨punct￨list
how￨WRB￨advmod￨mani mani￨NN￨nsubj￨class of￨IN￨case￨flight al0￨DT￨det￨flight night￨NN￨compound￨flight flight￨NN￨nmod￨mani are￨VBP￨cop￨class first￨JJ￨amod￨class class￨NN￨root￨ROOT
what￨WDT￨det￨flight flight￨NN￨nsubj￨go go￨VBP￨root￨ROOT from￨IN￨case￨ci0 ci0￨NN￨obl￨go to￨IN￨case￨ci1 ci1￨NNP￨obl￨go after￨RB￨advmod￨go ti0￨.￨punct￨go
show￨VB￨root￨ROOT me￨PRP￨iobj￨show first￨JJ￨amod￨class class￨NN￨compound￨fare fare￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NN￨obl￨show to￨IN￨case￨ci1 ci1￨NNP￨obl￨show
show￨VB￨root￨ROOT me￨PRP￨iobj￨show the￨DT￨det￨flight latest￨JJS￨amod￨flight flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨show
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨flight last￨JJ￨amod￨flight flight￨NN￨nsubj￨what from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
pleas￨NNS￨nsubj￨list list￨VBP￨root￨ROOT the￨DT￨det￨time flight￨NN￨compound￨time time￨NN￨obj￨list from￨IN￨case￨ci0 ci0￨NN￨obl￨list to￨IN￨case￨ci1 ci1￨NNP￨obl￨list
what￨WP￨root￨ROOT are￨VBP￨cop￨what my￨PRP$￨nmod:poss￨option meal￨NN￨compound￨option option￨NN￨nsubj￨what from￨IN￨case￨ci0 ci0￨NNP￨nmod￨option to￨IN￨case￨ci1 ci1￨NNP￨nmod￨option
show￨VB￨root￨ROOT me￨PRP￨iobj￨show the￨DT￨det￨flight direct￨JJ￨amod￨flight flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨show
show￨VB￨root￨ROOT me￨PRP￨iobj￨show round￨JJ￨amod￨trip trip￨NN￨compound￨fare fare￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NN￨obl￨show to￨IN￨case￨ci1 ci1￨NNP￨obl￨show
i￨PRP￨nsubj￨want want￨VBP￨root￨ROOT to￨TO￨mark￨fli fli￨VB￨xcomp￨want from￨IN￨case￨ci0 ci0￨NNP￨obl￨fli to￨IN￨case￨ci1 ci1￨NNP￨obl￨fli nonstop￨RB￨advmod￨fli
give￨VB￨root￨ROOT me￨PRP￨iobj￨give nonstop￨JJ￨amod￨flight flight￨NN￨obj￨give from￨IN￨case￨citi ci0￨NNP￨compound￨citi citi￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨give
show￨VB￨root￨ROOT me￨PRP￨iobj￨show da0￨DT￨det￨flight afternoon￨NN￨compound￨flight flight￨NN￨obj￨show from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨IN￨case￨ci0 ci0￨NNP￨obl￨show
show￨VB￨root￨ROOT me￨PRP￨iobj￨show the￨DT￨det￨flight cheapest￨JJS￨amod￨flight flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨show
i￨PRP￨nsubj￨like 'd￨MD￨aux￨like like￨VB￨root￨ROOT a￨DT￨det￨flight return￨NN￨compound￨flight flight￨NN￨obj￨like from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨like
show￨VB￨root￨ROOT me￨PRP￨iobj￨show a￨DT￨det￨list list￨NN￨obj￨show of￨IN￨case￨transport ground￨NN￨compound￨transport transport￨NN￨nmod￨list at￨IN￨case￨ap0 ap0￨NNP￨obl￨show
what￨WDT￨det￨flight pm￨NN￨compound￨flight flight￨NN￨nsubj￨avail are￨VBP￨aux￨avail avail￨VB￨root￨ROOT from￨IN￨case￨ci0 ci0￨NN￨obl￨avail to￨IN￨case￨ci1 ci1￨NNP￨obl￨avail
i￨PRP￨nsubj￨like would￨MD￨aux￨like like￨VB￨root￨ROOT to￨TO￨mark￨fli fli￨VB￨xcomp￨like from￨IN￨case￨ci0 ci0￨NNP￨obl￨fli to￨IN￨case￨ci1 ci1￨NNP￨obl￨fli
i￨PRP￨nsubj￨want want￨VBP￨root￨ROOT to￨TO￨mark￨fli fli￨VB￨xcomp￨want nonstop￨RB￨advmod￨fli from￨IN￨case￨ci0 ci0￨NNP￨obl￨fli to￨IN￨case￨ci1 ci1￨NNP￨obl￨fli
i￨PRP￨nsubj￨like 'd￨MD￨aux￨like like￨VB￨root￨ROOT to￨TO￨mark￨see see￨VB￨xcomp￨like the￨DT￨det￨code fare￨NN￨compound￨code code￨NN￨obj￨see again￨RB￨advmod￨see fb0￨.￨punct￨like
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨flight earliest￨JJS￨amod￨flight flight￨NN￨nsubj￨what from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight
show￨VB￨root￨ROOT flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨obl￨show to￨TO￨case￨ci1 ci1￨PRP￨nsubj￨connect connect￨VB￨advcl￨show through￨IN￨obl￨connect ci2￨.￨punct￨show
what￨WDT￨det￨flight flight￨NN￨nsubj￨leav leav￨VBP￨root￨ROOT after￨IN￨case￨ti0 ti0￨NN￨obl￨leav from￨IN￨case￨ci0 ci0￨NN￨obl￨leav to￨IN￨case￨ci1 ci1￨NNP￨obl￨leav
what￨WP￨root￨ROOT are￨VBP￨cop￨what the￨DT￨det￨flight cheapest￨JJS￨amod￨flight flight￨NN￨nsubj￨what from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
doe￨NNP￨compound￨al0 al0￨NNS￨nsubj￨have have￨VBP￨root￨ROOT ani￨NN￨compound￨flight flight￨NN￨obj￨have from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨have
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨flight earliest￨JJS￨amod￨flight flight￨NN￨nsubj￨what from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
coach￨NN￨compound￨class class￨NN￨compound￨flight flight￨NN￨root￨ROOT on￨IN￨case￨al0 al0￨NNP￨nmod￨flight from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨flight earliest￨JJS￨amod￨flight flight￨NN￨nsubj￨what from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
what￨WP￨root￨ROOT is￨VBZ￨cop￨what first￨JJ￨amod￨fare class￨NN￨compound￨fare fare￨NN￨nsubj￨what from￨IN￨case￨ci0 ci0￨NNP￨nmod￨fare to￨IN￨case￨ci1 ci1￨NNP￨nmod￨fare
what￨WDT￨det￨flight flight￨NN￨nsubj￨leav leav￨VBP￨root￨ROOT from￨IN￨case￨ci0 ci0￨NN￨obl￨leav to￨TO￨mark￨ci1 ci1￨VB￨advcl￨leav on￨IN￨case￨al0 al0￨NNP￨obl￨ci1
what￨WDT￨det￨time time￨NN￨obj￨depart doe￨NN￨nsubj￨depart al0￨MD￨aux￨depart depart￨VB￨root￨ROOT from￨IN￨case￨ci1 ci1￨NNP￨obl￨depart to￨IN￨case￨ci0 ci0￨NNP￨obl￨depart
show￨VB￨root￨ROOT me￨PRP￨iobj￨show the￨DT￨det￨flight dinner￨NN￨compound￨flight flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨show
show￨VB￨root￨ROOT all￨DT￨det￨flight flight￨NN￨obj￨show and￨CC￨cc￨fare fare￨VB￨conj￨show from￨IN￨case￨ci1 ci1￨NN￨obl￨fare to￨IN￨case￨ci0 ci0￨NNP￨obl￨fare
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨fare cheapest￨JJS￨amod￨fare fare￨NN￨nsubj￨what from￨IN￨case￨ci0 ci0￨NN￨nmod￨fare to￨IN￨case￨ci1 ci1￨NNP￨nmod￨fare
what￨WP￨root￨ROOT is￨VBZ￨cop￨what al0￨DT￨det￨schedul schedul￨NN￨nsubj￨what of￨IN￨case￨flight morn￨NN￨compound￨flight flight￨NN￨nmod￨schedul to￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨flight cheapest￨JJS￨amod￨flight flight￨NN￨nsubj￨what from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
show￨VB￨root￨ROOT me￨PRP￨iobj￨show flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨show for￨IN￨case￨da0 da0￨NN￨obl￨show
what￨WDT￨det￨flight flight￨NN￨nsubj￨da0 are￨VBP￨aux￨avail avail￨VB￨csubj￨da0 da0￨VBP￨root￨ROOT to￨TO￨mark￨ci0 ci0￨VB￨xcomp￨da0 from￨IN￨case￨ci1 ci1￨NNP￨obl￨ci0
show￨VB￨root￨ROOT me￨PRP￨iobj￨show the￨DT￨det￨coach coach￨NN￨nsubj￨fare fare￨VB￨ccomp￨show from￨IN￨case￨ci0 ci0￨NNP￨obl￨fare to￨IN￨case￨ci1 ci1￨NNP￨obl￨fare
show￨VB￨root￨ROOT me￨PRP￨iobj￨show flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨TO￨case￨ci1 ci1￨NNP￨obl￨show on￨IN￨case￨da0 da0￨NNP￨nmod￨ci1
what￨WDT￨det￨flight flight￨NN￨nsubj￨there are￨VBP￨cop￨there there￨RB￨root￨ROOT from￨IN￨case￨citi ci0￨NNP￨compound￨citi citi￨NNP￨obl￨there to￨IN￨case￨ci1 ci1￨NNP￨nmod￨citi
show￨VB￨root￨ROOT me￨PRP￨iobj￨show flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨TO￨case￨ci1 ci1￨NNP￨obl￨show on￨IN￨case￨da0 da0￨NNP￨nmod￨ci1
round￨JJ￨amod￨trip trip￨NN￨compound￨fare fare￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨fare to￨IN￨case￨ci1 ci1￨NNP￨nmod￨fare under￨IN￨case￨do0 do0￨NNP￨nmod￨fare
show￨VB￨root￨ROOT me￨PRP￨iobj￨show round￨JJ￨amod￨trip trip￨NN￨compound￨fare fare￨NN￨obj￨show between￨IN￨case￨ci0 ci0￨NN￨nmod￨fare and￨CC￨cc￨ci1 ci1￨NNP￨conj￨ci0
give￨VB￨root￨ROOT me￨PRP￨iobj￨give flight￨NN￨obj￨give that￨WDT￨nsubj￨arriv arriv￨VBZ￨acl:relcl￨flight in￨IN￨case￨ci0 ci0￨NN￨obl￨arriv from￨IN￨case￨ci1 ci1￨NNP￨obl￨arriv
show￨VB￨root￨ROOT me￨PRP￨iobj￨show all￨DT￨det￨flight flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨area ci1￨DT￨det￨area area￨NN￨obl￨show
show￨VB￨root￨ROOT me￨PRP￨iobj￨show the￨DT￨det￨flight nonstop￨JJ￨amod￨flight flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨show
find￨VB￨root￨ROOT the￨DT￨det￨flight earliest￨JJS￨amod￨flight breakfast￨NN￨compound￨flight flight￨NN￨obj￨find from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨find
show￨VB￨root￨ROOT me￨PRP￨iobj￨show all￨PDT￨det:predet￨flight the￨DT￨det￨flight flight￨NN￨obj￨show from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨IN￨case￨ci0 ci0￨NNP￨obl￨show
which￨WDT￨nsubj￨have airlin￨MD￨aux￨have have￨VB￨root￨ROOT nonstop￨JJ￨amod￨flight flight￨NN￨obj￨have from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨have
flight￨NN￨root￨ROOT on￨IN￨case￨al0 al0￨NN￨nmod￨flight from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨TO￨case￨ci1 ci1￨NNP￨nmod￨flight on￨IN￨case￨da0 da0￨NNP￨nmod￨ci1
doe￨NNP￨nsubj￨have al0￨RB￨advmod￨have have￨VBP￨root￨ROOT a￨DT￨det￨flight flight￨NN￨obj￨have from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨have
list￨NN￨compound￨flight flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight on￨IN￨case￨afternoon da0￨NNP￨compound￨afternoon afternoon￨NN￨nmod￨flight
can￨MD￨aux￨list you￨PRP￨nsubj￨list list￨VB￨root￨ROOT all￨DT￨det￨flight flight￨NN￨obj￨list from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨IN￨case￨ci0 ci0￨NNP￨obl￨list
what￨WDT￨det￨flight fare￨NN￨compound￨flight code￨NN￨compound￨flight cover￨NN￨compound￨flight flight￨NN￨root￨ROOT from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight
what￨WDT￨det￨price price￨NN￨nsubj￨servic is￨VBZ￨cop￨servic a￨DT￨det￨servic limousin￨JJ￨amod￨servic servic￨NN￨root￨ROOT to￨IN￨mark￨ci0 ci0￨VB￨acl￨servic ap0￨.￨punct￨servic
how￨WRB￨advmod￨have mani￨NNP￨compound￨flight flight￨NN￨compound￨al0 doe￨NN￨compound￨al0 al0￨NNS￨nsubj￨have have￨VBP￨root￨ROOT in￨IN￨case￨class busi￨NN￨compound￨class class￨NN￨obl￨have
all￨DT￨det￨flight flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight on￨IN￨case￨mn0 mn0￨NNP￨nmod￨flight dn0￨.￨punct￨flight
show￨VB￨root￨ROOT me￨PRP￨iobj￨show all￨DT￨det￨flight flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ap0 ap0￨NNP￨obl￨show nonstop￨RB￨advmod￨show
find￨VB￨root￨ROOT a￨DT￨det￨flight flight￨NN￨obj￨find from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨TO￨case￨ci1 ci1￨NNP￨obl￨find on￨IN￨case￨da0 da0￨NNP￨nmod￨ci1
show￨VB￨root￨ROOT me￨PRP￨iobj￨show flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨TO￨case￨ci1 ci1￨NNP￨obl￨show on￨IN￨case￨da0 da0￨NNP￨nmod￨ci1
what￨WDT￨det￨flight flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight in￨IN￨case￨morn the￨DT￨det￨morn morn￨NN￨nmod￨flight
show￨VB￨root￨ROOT me￨PRP￨iobj￨show the￨DT￨det￨flight morn￨NN￨compound￨flight flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨show
what￨WDT￨det￨flight flight￨NN￨nsubj￨go go￨VBP￨root￨ROOT from￨IN￨case￨ci0 ci0￨NN￨obl￨go to￨TO￨mark￨ci1 ci1￨VB￨advcl￨go on￨IN￨case￨da0 da0￨NNP￨obl￨ci1
list￨VB￨root￨ROOT all￨DT￨det￨flight flight￨NN￨obj￨list from￨IN￨case￨ci1 ci1￨NNP￨obl￨list to￨TO￨case￨ci0 ci0￨NNP￨obl￨list on￨IN￨case￨al0 al0￨NNP￨nmod￨ci0
are￨VBP￨cop￨flight they￨PRP￨nsubj￨flight all￨DT￨det￨flight nonstop￨JJ￨amod￨flight flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
i￨PRP￨nsubj￨like would￨MD￨aux￨like like￨VB￨root￨ROOT to￨TO￨mark￨fli fli￨VB￨xcomp￨like from￨IN￨case￨ci0 ci0￨NNP￨obl￨fli to￨IN￨case￨ci1 ci1￨NNP￨obl￨fli
all￨DT￨det￨flight flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨mark￨ci1 ci1￨VB￨acl￨flight less￨JJR￨obj￨ci1 than￨IN￨case￨do0 do0￨NNP￨obl￨less
pleas￨NNS￨nsubj￨give give￨VBP￨root￨ROOT me￨PRP￨iobj￨give all￨DT￨det￨flight flight￨NN￨obj￨give from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨give
and￨CC￨cc￨flight flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨leav ci1￨NNP￨compound￨leav leav￨NN￨nmod￨flight after￨RB￨advmod￨ti0 ti0￨NNP￨nmod￨flight
which￨WDT￨nsubj￨have airlin￨MD￨aux￨have have￨VB￨root￨ROOT daili￨DT￨det￨flight flight￨NN￨obj￨have from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨have
are￨VBP￨root￨ROOT there￨EX￨expl￨are da0￨DT￨det￨flight morn￨NN￨compound￨flight flight￨NN￨nsubj￨are between￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight and￨CC￨cc￨ci1 ci1￨NNP￨conj￨ci0
how￨WRB￨advmod￨get do￨VBP￨aux￨get i￨PRP￨nsubj￨get get￨VB￨root￨ROOT from￨IN￨case￨ap0 ap0￨NNP￨obl￨get to￨IN￨case￨downtown downtown￨NN￨obl￨get ci0￨.￨punct￨get
show￨VB￨root￨ROOT me￨PRP￨iobj￨show the￨DT￨det￨flight even￨JJ￨amod￨flight flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨show
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨fare cheapest￨JJS￨amod￨fare fare￨NN￨nsubj￨what between￨IN￨case￨ci1 ci1￨NN￨nmod￨fare and￨CC￨cc￨ci0 ci0￨NNP￨conj￨ci1
an￨DT￨det￨flight al0￨JJ￨amod￨flight flight￨NN￨root￨ROOT first￨JJ￨amod￨class class￨NN￨appos￨flight from￨IN￨case￨ci0 ci0￨NNP￨nmod￨class to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
what￨WDT￨det￨flight flight￨NN￨nsubj￨avail are￨VBP￨aux￨avail avail￨VB￨root￨ROOT da0￨NN￨obj￨avail from￨IN￨case￨ci0 ci0￨NN￨obl￨avail to￨IN￨case￨ci1 ci1￨NNP￨obl￨avail
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨flight latest￨JJS￨amod￨flight flight￨NN￨nsubj￨what from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
i￨PRP￨nsubj￨like 'd￨MD￨aux￨like like￨VB￨root￨ROOT a￨DT￨det￨flight flight￨NN￨obj￨like from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨washington ci1￨NNP￨compound￨washington washington￨NNP￨obl￨like
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight on￨IN￨case￨da0 da0￨NNP￨nmod￨flight befor￨RB￨advmod￨ti0 ti0￨NNP￨parataxis￨flight
show￨VB￨root￨ROOT me￨PRP￨iobj￨show all￨PDT￨det:predet￨flight the￨DT￨det￨flight flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight on￨IN￨case￨al0 al0￨NNP￨obl￨show
i￨PRP￨nsubj￨like would￨MD￨aux￨like like￨VB￨root￨ROOT to￨TO￨mark￨fli fli￨VB￨xcomp￨like from￨IN￨case￨ci1 ci1￨NNP￨obl￨fli to￨IN￨case￨ci0 ci0￨NNP￨obl￨fli
find￨VB￨root￨ROOT a￨DT￨det￨flight flight￨NN￨obj￨find from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨TO￨case￨ci1 ci1￨NNP￨obl￨find on￨IN￨case￨da0 da0￨NNP￨nmod￨ci1
list￨NN￨compound￨flight daili￨JJ￨amod￨flight flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨use ci1￨DT￨det￨use use￨NN￨nmod￨flight al0￨.￨punct￨flight
pleas￨NNS￨compound￨list list￨NN￨root￨ROOT onli￨IN￨case￨flight al0￨JJ￨amod￨flight flight￨NN￨nmod￨list between￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight and￨CC￨cc￨ci1 ci1￨NNP￨conj￨ci0
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨ci0 latest￨JJS￨amod￨ci0 flight￨NN￨compound￨leav leav￨NN￨compound￨ci0 ci0￨NN￨nsubj￨what for￨IN￨case￨ci1 ci1￨NNP￨nmod￨ci0
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨ci1 earliest￨JJS￨amod￨ci1 flight￨NN￨compound￨leav leav￨NN￨compound￨ci1 ci1￨NN￨nsubj￨what to￨IN￨case￨ci0 ci0￨NNP￨nmod￨ci1
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight between￨IN￨case￨ti0 ti0￨NNP￨nmod￨flight and￨CC￨cc￨ti1 ti1￨NNP￨conj￨ti0
da0￨JJ￨amod￨flight morn￨NN￨compound￨flight flight￨NN￨root￨ROOT between￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight and￨CC￨cc￨ci1 ci1￨NNP￨conj￨ci0 new￨JJ￨amod￨jersey jersey￨NN￨nmod￨flight
what￨WDT￨det￨flight flight￨NN￨nsubj￨avail are￨VBP￨aux￨avail avail￨VB￨root￨ROOT da0￨NN￨obj￨avail from￨IN￨case￨ci0 ci0￨NN￨obl￨avail to￨IN￨case￨ci1 ci1￨NNP￨obl￨avail
what￨WDT￨det￨flight afternoon￨NN￨compound￨flight flight￨NN￨nsubj￨avail are￨VBP￨aux￨avail avail￨VB￨root￨ROOT between￨IN￨case￨ci1 ci1￨NN￨obl￨avail and￨CC￨cc￨ci0 ci0￨NNP￨conj￨ci1
